,gid,id_merchant,id_brand,nama_merchant,alamat_merchant,phone_merchant,longitude,latitude,kode_desa,kode_brand,id_desa,geom,nama_brand,nama_sub_kategori,nama_kategori
1036,5331481,5331481,190,Batik Keris Summarecon Mal Kelapa Gading,"Mall Kelapa Gading 1 Lantai 2, Jl. Boulevard Raya",021452908,106.9077565,-6.1576722,3175050002,1317001,148219.0,POINT (106.9077565 -6.1576722),Fashion Store (Others),Fashion Store,Commercial
1037,5331490,5331490,190,Grosir Dress,Jl. Bisma 14,087880775188,106.8683254,-6.1307267,3175030003,1317001,142939.0,POINT (106.8683254 -6.1307267),Fashion Store (Others),Fashion Store,Commercial
1038,5331508,5331508,190,Sight Cloth Store,Jl. 8 RT014 RW 010 No. 26 Pademangan,085697667707,106.84443,-6.129588,3175020002,1317001,139560.0,POINT (106.84443 -6.129588),Fashion Store (Others),Fashion Store,Commercial
1039,5331536,5331536,190,House Of Luxury,Pelayaran Berjangka Nusantara No. 1,0215882215,106.7712225,-6.1169842,3175010002,1317001,139532.0,POINT (106.7712225 -6.1169842),Fashion Store (Others),Fashion Store,Commercial
1040,5331554,5331554,190,Batik Keris Mal Artha Gading,Jl. Artha Gading Selatan No. 1,02145864231,106.8922295,-6.145231,3175050001,1317001,146913.0,POINT (106.8922295 -6.145231),Fashion Store (Others),Fashion Store,Commercial
1041,5331563,5331563,190,Phangsanny Gallery,"Komplek Walikota, Jl. Gading Raya No. 32",08131981608,106.9079539,-6.1660526,3175050002,1317001,148219.0,POINT (106.9079539 -6.1660526),Fashion Store (Others),Fashion Store,Commercial
1042,5331564,5331564,190,Julia Sposa,"Metro Centro Broadway, Jl. Pantai Indah Utara 2 No. 17",02130010283,106.7615251,-6.1163978,3175010002,1317001,139532.0,POINT (106.7615251 -6.1163978),Fashion Store (Others),Fashion Store,Commercial
1043,5331568,5331568,190,Garuda Kencana Batik,Ruko Garden House,0811887807,106.7372976,-6.11123,3175010001,1317001,139464.0,POINT (106.7372976 -6.11123),Fashion Store (Others),Fashion Store,Commercial
1044,5331569,5331569,190,Portwave Store,Jl. Yos Sudarso No. 47,081282573309,106.8927308,-6.1129675,3175030006,1317001,153822.0,POINT (106.8927308 -6.1129675),Fashion Store (Others),Fashion Store,Commercial
1045,5331578,5331578,190,CLDS. Clothing dan Distro,Jl. Cipeucang V No. 40,08889233008,106.9012098,-6.1143428,3175040006,1317001,145978.0,POINT (106.9012098 -6.1143428),Fashion Store (Others),Fashion Store,Commercial
1046,5331581,5331581,190,H dan M,Jl. Pantai Indah Kapuk Boulevard Jakarta,,106.739939,-6.109221,3175010001,1317001,139464.0,POINT (106.739939 -6.109221),Fashion Store (Others),Fashion Store,Commercial
1047,5331586,5331586,190,H dan M,Jl. Pantai Indah Kapuk Boulevard Jakarta,,106.7399005,-6.1092464,3175010001,1317001,139464.0,POINT (106.7399005 -6.1092464),Fashion Store (Others),Fashion Store,Commercial
1048,5331587,5331587,190,H dan M,"Mall, Jl. Boulevard Raya",,106.9089786,-6.1568983,3175050002,1317001,148219.0,POINT (106.9089786 -6.1568983),Fashion Store (Others),Fashion Store,Commercial
1049,5331595,5331595,190,Nandes Shop (1Jtsekerdus),Jl. Labu,089505459788,106.9140761,-6.1161389,3175040004,1317001,145456.0,POINT (106.9140761 -6.1161389),Fashion Store (Others),Fashion Store,Commercial
1050,5331614,5331614,190,Horison,"Pasar Pagi Mangga Dua Lantai Dasar Blok B No. 78 79, Jl. Mangga Dua Raya",0216015904,106.8225418,-6.1361242,3175020003,1317001,121304.0,POINT (106.8225418 -6.1361242),Fashion Store (Others),Fashion Store,Commercial
1051,5331619,5331619,190,Batik Keris Mall Of Indonesia,Jl. Boulevard Barat Raya No. 1,0214588315,106.8928856,-6.1508737,3175050001,1317001,146913.0,POINT (106.8928856 -6.1508737),Fashion Store (Others),Fashion Store,Commercial
1052,4209537,4209537,672,88 Fitness Center,"Jl. Melati Raya No. 23, Sunter Agung, Tanjung Priok, Jakarta Utara",,106.8520842,-6.1298868,3175030001,2404001,141576.0,POINT (106.8520842 -6.1298868),Fitness Center (Others),Fitness Center,Sport
